Cate,Name,Stat,Nd,Vd,Formula,A0,A1,A2,A3,A4,A5,0.54607,n_e,V_e,0.47999,n_F',0.64385,n_C',0.48613,n_F,0.65627,n_C,,,,,,,,,,,,,,
HOYA,MC-TAFD307,Pref,1.882023,37.221297,Schott,3.43E+00,-1.38E-02,3.74E-02,1.19E-03,-1.60E-05,5.18E-06,,1.887646,36.973,,1.9001396,,1.8761317,,1.898732464,,1.87503535,,,,,,,,,,,,,,
HOYA,M-TAFD307,Pref,1.882023,37.221297,Schott,3.43E+00,-1.38E-02,3.74E-02,1.19E-03,-1.60E-05,5.18E-06,,1.887646,36.973,,1.9001396,,1.8761317,,1.898732464,,1.87503535,,,,,,,,,,,,,,
SUMITA,K-VC91(M),Stan,1.881753,34.915322,Schott,3.42E+00,-1.46E-02,3.77E-02,1.90E-03,-1.10E-04,1.25E-05,,1.887740,34.673,,1.9011044,,1.8755014,,1.899595071,,1.874340596,,,,,,,,,,,,,,
HOYA,TAFD17,Obso,1.877999,38.197051,Schott,3.42E+00,-1.69E-02,3.29E-02,2.11E-03,-1.43E-04,1.08E-05,,1.883456,37.942,,1.8955666,,1.8722820,,1.894204303,,1.871217871,,,,,,,,,,,,,,
SUMITA,K-PSFN1(M),Stan,1.899479,21.354823,Schott,3.42E+00,-1.58E-02,5.60E-02,4.29E-03,-2.71E-04,4.86E-05,,1.909373,21.185,,1.9323070,,1.8893812,,1.929654255,,1.887532848,,,,,,,,,,,,,,
CORNING,E78-38,Stan,1.878005,38.494794,Schott,3.42E+00,-1.53E-02,3.70E-02,7.53E-04,3.72E-05,1.57E-06,,1.883420,38.256,,1.8954013,,1.8723092,,1.894054624,,1.871245844,,,,,,,,,,,,,,
OHARA,S-LAH75,Obso,1.873996,35.258594,Schott,3.40E+00,-1.58E-02,3.68E-02,1.76E-03,-8.40E-05,1.05E-05,,1.879872,35.015,,1.8929845,,1.8678560,,1.891503454,,1.866714864,,,,,,,,,,,,,,
OHARA,LAH75,Obso,1.873996,35.258591,Schott,3.40E+00,-1.58E-02,3.68E-02,1.76E-03,-8.40E-05,1.05E-05,,1.879871,35.015,,1.8929844,,1.8678559,,1.891503314,,1.866714727,,,,,,,,,,,,,,
HOYA,TAFD32,Pref,1.870705,40.728631,Schott,3.40E+00,-1.31E-02,3.49E-02,7.91E-04,7.70E-06,2.35E-06,,1.875785,40.478,,1.8869913,,1.8653551,,1.885734838,,1.864356297,,,,,,,,,,,,,,
NHG,H-ZLAF65,Stan,1.874091,30.557144,Schott,3.38E+00,-1.26E-02,4.39E-02,1.38E-03,9.95E-06,1.18E-05,,1.880849,30.318,,1.8961404,,1.8670869,,1.89439751,,1.865791878,,,,,,,,,,,,,,
CORNING,E65-40,Stan,1.865,40.112393,Schott,3.37E+00,-1.20E-02,3.56E-02,5.83E-04,4.72E-05,2.16E-07,,1.870122,39.856,,1.8814466,,1.8596147,,1.88017508,,1.858610325,,,,,,,,,,,,,,
SUMITA,LASFN13,Stan,1.862999,41.591499,Schott,3.37E+00,-1.42E-02,3.41E-02,5.35E-04,5.81E-05,-2.45E-06,,1.867932,41.350,,1.8787823,,1.8577922,,1.877568142,,1.856818413,,,,,,,,,,,,,,
HOYA,TAFD6,Obso,1.847498,43.033415,Schott,3.35E+00,-2.66E-02,9.63E-03,8.44E-03,-1.24E-03,7.65E-05,,1.852198,42.790,,1.8624661,,1.8425503,,1.861323364,,1.841629104,,,,,,,,,,,,,,
HOYA,TAFD13,Obso,1.855396,36.557002,Schott,3.34E+00,-1.86E-02,2.99E-02,3.12E-03,-2.96E-04,2.07E-05,,1.860949,36.308,,1.8733027,,1.8495905,,1.871910958,,1.848511598,,,,,,,,,,,,,,
SUMITA,K-VC185,Stan,1.85375,40.59345,Schott,3.34E+00,-1.50E-02,3.27E-02,1.10E-03,-3.86E-05,4.59E-06,,1.858749,40.352,,1.8697628,,1.8484812,,1.868528647,,1.847496586,,,,,,,,,,,,,,
NHG,H-ZLAF3,Stan,1.855442,36.570666,Schott,3.34E+00,-1.52E-02,3.48E-02,1.57E-03,-7.28E-05,8.73E-06,,1.860990,36.324,,1.8733362,,1.8496331,,1.871944245,,1.848552384,,,,,,,,,,,,,,
CDGM,D-ZLAF85L,Stan,1.853702,40.598749,Schott,3.33E+00,-1.26E-02,3.46E-02,5.46E-04,4.29E-05,2.51E-07,,1.858698,40.350,,1.8697196,,1.8484385,,1.868483613,,1.847455493,,,,,,,,,,,,,,
CDGM,H-ZLAF3,Stan,1.855449,36.59805,Schott,3.33E+00,-1.42E-02,3.66E-02,1.02E-03,-3.17E-06,5.77E-06,,1.860992,36.355,,1.8733208,,1.8496382,,1.871930518,,1.848555969,,,,,,,,,,,,,,
SUMITA,K-VC90,Stan,1.852796,38.997198,Schott,3.33E+00,-1.37E-02,3.41E-02,1.10E-03,-2.80E-05,5.17E-06,,1.857988,38.746,,1.8694855,,1.8473416,,1.868193253,,1.846324761,,,,,,,,,,,,,,
SUMITA,K-VC99,Stan,1.8506,41.621693,Schott,3.33E+00,-1.53E-02,3.19E-02,1.01E-03,-2.84E-05,3.49E-06,,1.855459,41.381,,1.8661429,,1.8454701,,1.864947191,,1.844510408,,,,,,,,,,,,,,
NHG,H-ZLAF59,Stan,1.851503,40.760088,Schott,3.33E+00,-1.47E-02,3.43E-02,4.31E-04,6.16E-05,-1.70E-07,,1.856464,40.512,,1.8674109,,1.8462702,,1.86618222,,1.845291279,,,,,,,,,,,,,,
NHG,D-ZLAF851,Stan,1.851348,40.104483,Schott,3.33E+00,-1.34E-02,3.34E-02,1.01E-03,-2.14E-05,3.97E-06,,1.856392,39.854,,1.8675299,,1.8460418,,1.866280262,,1.845051664,,,,,,,,,,,,,,
HOYA,MP-TAFD305,Pref,1.851348,40.104483,Schott,3.33E+00,-1.34E-02,3.34E-02,1.01E-03,-2.14E-05,3.97E-06,,1.856392,39.854,,1.8675299,,1.8460418,,1.866280262,,1.845051664,,,,,,,,,,,,,,
HOYA,MC-TAFD305,Pref,1.851348,40.104483,Schott,3.33E+00,-1.34E-02,3.34E-02,1.01E-03,-2.14E-05,3.97E-06,,1.856392,39.854,,1.8675299,,1.8460418,,1.866280262,,1.845051664,,,,,,,,,,,,,,
HOYA,M-TAFD305,Pref,1.851348,40.104483,Schott,3.33E+00,-1.34E-02,3.34E-02,1.01E-03,-2.14E-05,3.97E-06,,1.856392,39.854,,1.8675299,,1.8460418,,1.866280262,,1.845051664,,,,,,,,,,,,,,
SUMITA,K-VC185(M),Stan,1.849088,40.531949,Schott,3.32E+00,-1.50E-02,3.22E-02,1.19E-03,-5.07E-05,5.20E-06,,1.854067,40.289,,1.8650408,,1.8438421,,1.86381102,,1.842862069,,,,,,,,,,,,,,
SUMITA,K-GIR79,Stan,1.855881,33.02913,Schott,3.32E+00,-8.58E-03,4.00E-02,1.45E-03,-3.05E-05,7.80E-06,,1.862022,32.788,,1.8757895,,1.8494985,,1.874231533,,1.84831818,,,,,,,,,,,,,,
SUMITA,K-VC90(M),Stan,1.848583,38.891839,Schott,3.31E+00,-1.36E-02,3.38E-02,1.11E-03,-2.81E-05,5.11E-06,,1.853764,38.640,,1.8652380,,1.8431429,,1.863948167,,1.842128753,,,,,,,,,,,,,,
SUMITA,K-VC99(M),Stan,1.846038,41.46523,Schott,3.31E+00,-1.53E-02,3.18E-02,1.00E-03,-2.75E-05,3.43E-06,,1.850889,41.225,,1.8615574,,1.8409175,,1.860363359,,1.839959471,,,,,,,,,,,,,,
SUMITA,LASFN21,Stan,1.850001,32.404496,Schott,3.31E+00,-1.76E-02,3.57E-02,2.39E-03,-1.34E-04,1.45E-05,,1.856208,32.164,,1.8701685,,1.8435484,,1.868584231,,1.842352819,,,,,,,,,,,,,,
HOYA,TAFD9,Obso,1.850299,32.181026,Schott,3.31E+00,-1.57E-02,3.67E-02,2.37E-03,-1.56E-04,1.77E-05,,1.856550,31.940,,1.8706195,,1.8438021,,1.869021888,,1.842599078,,,,,,,,,,,,,,
CDGM,H-ZLAF71,Stan,1.85026,32.307713,Schott,3.30E+00,-1.57E-02,3.74E-02,2.17E-03,-1.49E-04,1.85E-05,,1.856487,32.073,,1.8704819,,1.8437775,,1.868893538,,1.84257553,,,,,,,,,,,,,,
SUMITA,K-LASFN21,Stan,1.850021,32.506374,Schott,3.30E+00,-1.60E-02,3.76E-02,2.15E-03,-2.05E-04,2.76E-05,,1.856201,32.262,,1.8701210,,1.8435819,,1.868536303,,1.842386479,,,,,,,,,,,,,,
OHARA,LAH71,Obso,1.850259,32.28594,Schott,3.30E+00,-1.39E-02,3.76E-02,2.11E-03,-1.18E-04,1.48E-05,,1.856491,32.046,,1.8705080,,1.8437811,,1.868917723,,1.842582017,,,,,,,,,,,,,,
NHG,H-ZLAF60,Stan,1.850266,32.267394,Schott,3.30E+00,-1.39E-02,3.83E-02,1.96E-03,-1.07E-04,1.48E-05,,1.856503,32.033,,1.8705154,,1.8437772,,1.868926137,,1.842575058,,,,,,,,,,,,,,
CDGM,H-ZLAF76,Stan,1.850136,30.060435,Schott,3.30E+00,-1.72E-02,3.87E-02,2.68E-03,-2.04E-04,2.43E-05,,1.856820,29.837,,1.8719157,,1.8431993,,1.870196697,,1.841915303,,,,,,,,,,,,,,
NHG,H-ZLAF76,Stan,1.850134,30.065285,Schott,3.29E+00,-1.52E-02,4.07E-02,2.01E-03,-8.96E-05,1.66E-05,,1.856817,29.842,,1.8719102,,1.8431988,,1.870192049,,1.841915281,,,,,,,,,,,,,,
SUMITA,LASFN8,Stan,1.834998,42.735226,Schott,3.28E+00,-1.59E-02,2.97E-02,1.10E-03,-4.57E-05,4.15E-06,,1.839644,42.488,,1.8498508,,1.8300890,,1.848708999,,1.829169819,,,,,,,,,,,,,,
SUMITA,K-LASFN8,Stan,1.835001,42.74188,Schott,3.28E+00,-1.51E-02,3.08E-02,7.84E-04,-3.46E-06,2.05E-06,,1.839646,42.497,,1.8498489,,1.8300909,,1.84870741,,1.829171195,,,,,,,,,,,,,,
OHARA,LAH55,Obso,1.834807,42.72372,Schott,3.28E+00,-1.53E-02,3.04E-02,8.87E-04,-1.72E-05,2.71E-06,,1.839453,42.478,,1.8496588,,1.8298966,,1.848517048,,1.828977076,,,,,,,,,,,,,,
NHG,H-ZLAF55F,Stan,1.834796,42.72929,Schott,3.28E+00,-1.40E-02,3.01E-02,1.07E-03,-5.09E-05,5.04E-06,,1.839441,42.473,,1.8496581,,1.8298939,,1.848514461,,1.828977301,,,,,,,,,,,,,,
HOYA,TAFD5G,Pref,1.834807,42.72146,Schott,3.28E+00,-1.45E-02,3.08E-02,7.89E-04,-4.08E-06,2.23E-06,,1.839452,42.469,,1.8496666,,1.8299006,,1.84852323,,1.828982224,,,,,,,,,,,,,,
HIKARI,E-LASF05,Obso,1.834807,42.722417,Schott,3.28E+00,-1.50E-02,3.11E-02,6.83E-04,9.41E-06,1.50E-06,,1.839453,42.478,,1.8496564,,1.8298945,,1.848514747,,1.828974178,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF05,Obso,1.834807,42.722417,Schott,3.28E+00,-1.50E-02,3.11E-02,6.83E-04,9.41E-06,1.50E-06,,1.839453,42.478,,1.8496564,,1.8298945,,1.848514747,,1.828974178,,,,,,,,,,,,,,
HOYA,TAFD5F,Stan,1.834805,42.721785,Schott,3.28E+00,-1.45E-02,3.09E-02,7.33E-04,4.66E-06,1.82E-06,,1.839450,42.469,,1.8496659,,1.8298996,,1.848522138,,1.828981316,,,,,,,,,,,,,,
HOYA,TAFD5,Obso,1.835,42.984244,Schott,3.27E+00,-1.29E-02,3.35E-02,-6.82E-05,1.12E-04,-4.05E-06,,1.839619,42.745,,1.8497524,,1.8301099,,1.848618948,,1.829192916,,,,,,,,,,,,,,
NHG,H-ZLAF55,Obso,1.835,42.984226,Schott,3.27E+00,-1.29E-02,3.35E-02,-6.82E-05,1.12E-04,-4.05E-06,,1.839619,42.745,,1.8497523,,1.8301098,,1.848618903,,1.829192865,,,,,,,,,,,,,,
CDGM,H-ZLAF55D,Pref,1.83481,42.727483,Schott,3.27E+00,-1.29E-02,3.28E-02,1.83E-04,7.64E-05,-1.75E-06,,1.839455,42.481,,1.8496607,,1.8298998,,1.848518235,,1.828979901,,,,,,,,,,,,,,
HOYA,MP-NBFD10-20,Pref,1.834612,37.288776,Schott,3.27E+00,-1.88E-02,2.73E-02,3.28E-03,-3.28E-04,2.17E-05,,1.839925,37.037,,1.8517318,,1.8290535,,1.850402986,,1.828020222,,,,,,,,,,,,,,
CDGM,H-ZLAF55C,Stan,1.834813,42.743244,Schott,3.27E+00,-1.27E-02,3.35E-02,-2.49E-05,1.02E-04,-2.87E-06,,1.839455,42.500,,1.8496530,,1.8299008,,1.848511396,,1.828980212,,,,,,,,,,,,,,
CDGM,H-ZF52TT,Stan,1.846666,23.787324,Schott,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,,1.855057,23.603,,1.8742960,,1.8380690,,1.872087423,,1.836493625,,,,,,,,,,,,,,
CDGM,H-ZF52GT,Pref,1.846666,23.787324,Schott,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,,1.855057,23.603,,1.8742960,,1.8380690,,1.872087423,,1.836493625,,,,,,,,,,,,,,
CDGM,H-ZF52,Pref,1.846666,23.787324,Schott,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,,1.855057,23.603,,1.8742960,,1.8380690,,1.872087423,,1.836493625,,,,,,,,,,,,,,
HOYA,M-NBFD10,Pref,1.83441,37.285136,Schott,3.26E+00,-1.58E-02,3.23E-02,1.71E-03,-1.08E-04,1.06E-05,,1.839720,37.039,,1.8515152,,1.8288438,,1.850186505,,1.827806969,,,,,,,,,,,,,,
SUMITA,K-LASFN14,Stan,1.833994,37.360343,Schott,3.26E+00,-1.63E-02,3.20E-02,1.53E-03,-4.78E-05,5.73E-06,,1.839287,37.099,,1.8510780,,1.8284553,,1.849747988,,1.827424638,,,,,,,,,,,,,,
OHARA,LAH60,Obso,1.834,37.166863,Schott,3.26E+00,-1.54E-02,3.32E-02,1.41E-03,-5.53E-05,7.14E-06,,1.839323,36.921,,1.8511524,,1.8284195,,1.84981975,,1.827380031,,,,,,,,,,,,,,
HOYA,NBFD10,Pref,1.834001,37.345055,Schott,3.26E+00,-1.45E-02,3.35E-02,1.23E-03,-2.54E-05,5.60E-06,,1.839296,37.090,,1.8510821,,1.8284532,,1.849753165,,1.827420506,,,,,,,,,,,,,,
HIKARI,SF03,Obso,1.84666,23.884051,Schott,3.26E+00,-1.83E-02,4.16E-02,4.95E-03,-3.88E-04,3.84E-05,,1.855014,23.698,,1.8741821,,1.8381018,,1.871981917,,1.836532522,,,,,,,,,,,,,,
NIKON-HIKARI,SF03,Obso,1.84666,23.884051,Schott,3.26E+00,-1.83E-02,4.16E-02,4.95E-03,-3.88E-04,3.84E-05,,1.855014,23.698,,1.8741821,,1.8381018,,1.871981917,,1.836532522,,,,,,,,,,,,,,
NHG,H-ZLAF53,Stan,1.833996,37.3209,Schott,3.26E+00,-1.43E-02,3.43E-02,9.45E-04,1.67E-05,3.79E-06,,1.839293,37.062,,1.8510939,,1.8284480,,1.849761936,,1.827414938,,,,,,,,,,,,,,
NHG,H-ZF52HT,Obso,1.846663,23.784819,Schott,3.26E+00,-1.78E-02,4.09E-02,5.61E-03,-5.64E-04,5.48E-05,,1.855049,23.598,,1.8743024,,1.8380685,,1.872089654,,1.83649222,,,,,,,,,,,,,,
NHG,H-ZF52,Obso,1.846663,23.784819,Schott,3.26E+00,-1.78E-02,4.09E-02,5.61E-03,-5.64E-04,5.48E-05,,1.855049,23.598,,1.8743024,,1.8380685,,1.872089654,,1.83649222,,,,,,,,,,,,,,
HOYA,FDS90-SG,Pref,1.846663,23.784819,Schott,3.26E+00,-1.78E-02,4.09E-02,5.61E-03,-5.64E-04,5.48E-05,,1.855049,23.598,,1.8743024,,1.8380685,,1.872089654,,1.83649222,,,,,,,,,,,,,,
HOYA,FDS90,Stan,1.846663,23.784819,Schott,3.26E+00,-1.78E-02,4.09E-02,5.61E-03,-5.64E-04,5.48E-05,,1.855049,23.598,,1.8743024,,1.8380685,,1.872089654,,1.83649222,,,,,,,,,,,,,,
HIKARI,E-LASF010,Obso,1.834,37.159899,Schott,3.26E+00,-1.49E-02,3.40E-02,1.14E-03,-1.89E-05,5.34E-06,,1.839324,36.916,,1.8511524,,1.8284162,,1.849819682,,1.827375763,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF010,Obso,1.834,37.159899,Schott,3.26E+00,-1.49E-02,3.40E-02,1.14E-03,-1.89E-05,5.34E-06,,1.839324,36.916,,1.8511524,,1.8284162,,1.849819682,,1.827375763,,,,,,,,,,,,,,
SUMITA,SFN3,Stan,1.846659,23.883797,Schott,3.26E+00,-1.56E-02,4.06E-02,5.62E-03,-5.27E-04,4.76E-05,,1.855018,23.698,,1.8741810,,1.8381009,,1.871983176,,1.836533435,,,,,,,,,,,,,,
SUMITA,LASFN14,Stan,1.834005,37.198895,Schott,3.26E+00,-1.32E-02,3.45E-02,1.06E-03,-1.42E-05,5.37E-06,,1.839324,36.950,,1.8511463,,1.8284313,,1.849814082,,1.827393546,,,,,,,,,,,,,,
HOYA,FDS9,Obso,1.846658,23.826345,Schott,3.26E+00,-1.49E-02,4.14E-02,5.41E-03,-4.91E-04,4.51E-05,,1.855037,23.641,,1.8742481,,1.8380803,,1.872044756,,1.836509597,,,,,,,,,,,,,,
CDGM,H-ZLAF53BGT,Stan,1.833996,37.229136,Schott,3.26E+00,-1.23E-02,3.55E-02,7.06E-04,4.35E-05,1.96E-06,,1.839310,36.978,,1.8511269,,1.8284292,,1.84979479,,1.827392705,,,,,,,,,,,,,,
CDGM,H-ZLAF53B,Pref,1.833996,37.229136,Schott,3.26E+00,-1.23E-02,3.55E-02,7.06E-04,4.35E-05,1.96E-06,,1.839310,36.978,,1.8511269,,1.8284292,,1.84979479,,1.827392705,,,,,,,,,,,,,,
SUMITA,SFLDN3,Stan,1.846659,23.886846,Schott,3.26E+00,-1.64E-02,4.43E-02,4.17E-03,-3.14E-04,3.93E-05,,1.855003,23.694,,1.8741947,,1.8381096,,1.871986338,,1.836541142,,,,,,,,,,,,,,
NHG,D-ZLAF53,Stan,1.833023,37.344568,Schott,3.26E+00,-1.45E-02,3.41E-02,1.07E-03,-1.51E-05,5.48E-06,,1.838315,37.100,,1.8500677,,1.8274716,,1.848743626,,1.826436845,,,,,,,,,,,,,,
HOYA,FDS90(P),Stan,1.846664,23.876716,Schott,3.26E+00,-1.58E-02,4.43E-02,4.36E-03,-3.69E-04,4.30E-05,,1.855016,23.690,,1.8741908,,1.8380985,,1.871986757,,1.836526281,,,,,,,,,,,,,,
HIKARI,E-SF03,Obso,1.84666,23.776466,Schott,3.25E+00,-1.56E-02,4.58E-02,3.73E-03,-2.39E-04,3.43E-05,,1.855043,23.587,,1.8743190,,1.8380684,,1.872101568,,1.836491762,,,,,,,,,,,,,,
NIKON-HIKARI,E-SF03,Obso,1.84666,23.776466,Schott,3.25E+00,-1.56E-02,4.58E-02,3.73E-03,-2.39E-04,3.43E-05,,1.855043,23.587,,1.8743190,,1.8380684,,1.872101568,,1.836491762,,,,,,,,,,,,,,
RPO,H-ZLAF55_MOLD,Stan,1.83,42.726836,Schott,3.25E+00,-1.29E-02,3.34E-02,-6.79E-05,1.12E-04,-4.04E-06,,1.834619,42.490,,1.8447523,,1.8251098,,1.843618904,,1.824192865,,,,,,,,,,,,,,
OHARA,TIH53,Spec,1.846659,23.780116,Schott,3.25E+00,-1.45E-02,4.65E-02,3.62E-03,-2.42E-04,3.59E-05,,1.855041,23.590,,1.8743137,,1.8380682,,1.872095978,,1.836491672,,,,,,,,,,,,,,
RPO,FDS9_MOLD,Obso,1.845058,23.781322,Schott,3.25E+00,-1.49E-02,4.13E-02,5.41E-03,-4.91E-04,4.51E-05,,1.853437,23.597,,1.8726481,,1.8364803,,1.870444721,,1.834909568,,,,,,,,,,,,,,
NHG,H-ZF52N,Stan,1.846657,23.789972,Schott,3.25E+00,-1.35E-02,4.90E-02,2.49E-03,-1.82E-05,1.95E-05,,1.855033,23.598,,1.8743090,,1.8380760,,1.872090915,,1.836501446,,,,,,,,,,,,,,
CDGM,H-ZF52A,Obso,1.84667,23.791236,Schott,3.25E+00,-1.34E-02,4.84E-02,3.14E-03,-1.97E-04,3.48E-05,,1.855049,23.605,,1.8742944,,1.8380716,,1.872080306,,1.836492173,,,,,,,,,,,,,,
SUMITA,K-SFLDN3,Stan,1.846662,23.895971,Schott,3.25E+00,-1.32E-02,4.98E-02,2.24E-03,-7.76E-06,2.12E-05,,1.854999,23.702,,1.8741879,,1.8381157,,1.871978287,,1.836546483,,,,,,,,,,,,,,
OHARA,PBH53W,Obso,1.846658,23.885544,Schott,3.25E+00,-1.05E-02,4.80E-02,3.19E-03,-1.54E-04,2.63E-05,,1.855012,23.699,,1.8741762,,1.8380983,,1.8719764,,1.836529311,Transmittance,,,,,,,,,,,,,
OHARA,PBH53,Obso,1.846658,23.885544,Schott,3.25E+00,-1.05E-02,4.80E-02,3.19E-03,-1.54E-04,2.63E-05,,1.855012,23.699,,1.8741762,,1.8380983,,1.8719764,,1.836529311,,,,,,,,,,,,,,
CORNING,E37-30,Stan,1.836406,30.205692,Schott,3.25E+00,-1.31E-02,3.96E-02,2.00E-03,-1.09E-04,1.90E-05,,1.842947,29.970,,1.8577553,,1.8296286,,1.856066873,,1.82837606,,,,,,,,,,,,,,
SUMITA,K-PSFN4,Stan,1.844001,24.79709,Schott,3.25E+00,-1.14E-02,4.82E-02,2.24E-03,-2.80E-05,1.89E-05,,1.852020,24.600,,1.8704024,,1.8357675,,1.868292025,,1.834255123,,,,,,,,,,,,,,
RPO,H-ZLAF53_MOLD,Stan,1.8292,36.952953,Schott,3.24E+00,-1.53E-02,3.31E-02,1.41E-03,-5.52E-05,7.12E-06,,1.834523,36.710,,1.8463524,,1.8236195,,1.84501975,,1.822580031,,,,,,,,,,,,,,
CDGM,ZF52,Stan,1.846669,23.827549,Schott,3.24E+00,-7.80E-03,5.34E-02,1.51E-03,7.22E-05,1.66E-05,,1.855036,23.641,,1.8742523,,1.8380848,,1.872042838,,1.836509017,,,,,,,,,,,,,,
HOYA,NBFD40,Obso,1.829,36.496616,Schott,3.24E+00,-1.26E-02,3.30E-02,1.64E-03,-8.61E-05,9.71E-06,,1.834385,36.230,,1.8464105,,1.8233803,,1.845052209,,1.822337396,,,,,,,,,,,,,,
RPO,SF57_MOLD,Stan,1.84457,23.7525,Schott,3.24E+00,-9.57E-03,4.88E-02,3.15E-03,-1.77E-04,2.89E-05,,1.852953,23.573,,1.8721563,,1.8359726,,1.869953357,,1.834395601,,,,,,,,,,,,,,
CDGM,D-ZLAF61,Stan,1.822412,42.722851,Schott,3.23E+00,-1.29E-02,3.06E-02,6.19E-04,1.99E-05,9.30E-07,,1.826987,42.461,,1.8370610,,1.8175848,,1.835932477,,1.816682245,,,,,,,,,,,,,,
SUMITA,K-PSFN4(M),Stan,1.839324,24.796062,Schott,3.23E+00,-1.14E-02,4.72E-02,2.45E-03,-6.49E-05,2.10E-05,,1.847300,24.598,,1.8655846,,1.8311387,,1.863485215,,1.829635505,,,,,,,,,,,,,,
HOYA,MP-TAFD51-50,Pref,1.821299,42.725251,Schott,3.23E+00,-1.44E-02,2.99E-02,8.21E-04,-1.09E-05,2.58E-06,,1.825869,42.473,,1.8359175,,1.8164730,,1.83479266,,1.81556954,,,,,,,,,,,,,,
HOYA,MC-TAFD51-50,Pref,1.821299,42.725251,Schott,3.23E+00,-1.44E-02,2.99E-02,8.21E-04,-1.09E-05,2.58E-06,,1.825869,42.473,,1.8359175,,1.8164730,,1.83479266,,1.81556954,,,,,,,,,,,,,,
HOYA,M-TAFD51,Pref,1.820798,42.706368,Schott,3.23E+00,-1.45E-02,2.92E-02,1.06E-03,-4.79E-05,4.56E-06,,1.825368,42.455,,1.8354138,,1.8159728,,1.834289755,,1.815069873,,,,,,,,,,,,,,
SUMITA,K-PSFN3,Stan,1.839182,23.860329,Schott,3.23E+00,-1.46E-02,4.78E-02,2.72E-03,-9.57E-05,2.71E-05,,1.847457,23.668,,1.8665032,,1.8306968,,1.864309667,,1.829138431,,,,,,,,,,,,,,
HOYA,TAF5,Spec,1.815999,46.571899,Schott,3.22E+00,-1.53E-02,2.64E-02,1.05E-03,-6.17E-05,3.97E-06,,1.820171,46.321,,1.8292813,,1.8115749,,1.828266108,,1.810744549,,,,,,,,,,,,,,
NHG,H-ZLAF54,Stan,1.815997,46.543399,Schott,3.22E+00,-1.45E-02,2.61E-02,1.27E-03,-1.06E-04,6.87E-06,,1.820173,46.295,,1.8292847,,1.8115684,,1.828270088,,1.810737863,,,,,,,,,,,,,,
SUMITA,K-LASFN9,Stan,1.816004,46.668983,Schott,3.22E+00,-1.49E-02,2.69E-02,8.74E-04,-4.03E-05,3.17E-06,,1.820167,46.419,,1.8292553,,1.8115865,,1.828242347,,1.810757148,,,,,,,,,,,,,,
OHARA,LAH59,Obso,1.816,46.626446,Schott,3.22E+00,-1.43E-02,2.72E-02,7.90E-04,-2.39E-05,2.00E-06,,1.820166,46.371,,1.8292694,,1.8115824,,1.828254526,,1.810753455,,,,,,,,,,,,,,
CDGM,H-ZLAF69A,Stan,1.816003,46.570767,Schott,3.22E+00,-1.40E-02,2.80E-02,5.59E-04,5.06E-06,8.25E-07,,1.820174,46.320,,1.8292840,,1.8115772,,1.828268194,,1.810746132,,,,,,,,,,,,,,
SUMITA,LASFN9,Stan,1.816006,46.67079,Schott,3.22E+00,-1.39E-02,2.81E-02,5.40E-04,3.21E-06,1.07E-06,,1.820169,46.424,,1.8292541,,1.8115870,,1.828241503,,1.810756921,,,,,,,,,,,,,,
HIKARI,E-LASF09,Obso,1.816,46.623347,Schott,3.22E+00,-1.34E-02,2.85E-02,4.06E-04,2.70E-05,-4.65E-07,,1.820166,46.372,,1.8292656,,1.8115789,,1.828251076,,1.81074884,,,,,,,,,,,,,,
NIKON-HIKARI,E-LASF09,Obso,1.816,46.623347,Schott,3.22E+00,-1.34E-02,2.85E-02,4.06E-04,2.70E-05,-4.65E-07,,1.820166,46.372,,1.8292656,,1.8115789,,1.828251076,,1.81074884,,,,,,,,,,,,,,
CDGM,H-ZLAF69,Stan,1.816001,46.56921,Schott,3.21E+00,-1.30E-02,2.92E-02,1.88E-04,5.71E-05,-1.96E-06,,1.820172,46.320,,1.8292801,,1.8115736,,1.828264509,,1.810741896,,,,,,,,,,,,,,
SUMITA,K-LASFN10,Stan,1.815493,44.40402,Schott,3.21E+00,-1.56E-02,2.82E-02,8.64E-04,-2.92E-05,2.99E-06,,1.819863,44.164,,1.8294256,,1.8108615,,1.828358065,,1.809992481,,,,,,,,,,,,,,
OHARA,S-LAH54,Obso,1.815543,44.361146,Schott,3.21E+00,-1.54E-02,2.84E-02,7.92E-04,-1.70E-05,2.62E-06,,1.819915,44.114,,1.8294978,,1.8109113,,1.828427003,,1.810042545,,,,,,,,,,,,,,
OHARA,LAH54,Obso,1.815543,44.361146,Schott,3.21E+00,-1.54E-02,2.84E-02,7.92E-04,-1.70E-05,2.62E-06,,1.819915,44.114,,1.8294978,,1.8109113,,1.828427003,,1.810042545,,,,,,,,,,,,,,
HOYA,TAFD10,Obso,1.815502,44.5379,Schott,3.21E+00,-1.46E-02,2.92E-02,5.11E-04,2.70E-05,-1.85E-07,,1.819857,44.290,,1.8293990,,1.8108880,,1.828332962,,1.810022384,,,,,,,,,,,,,,
